reseña_bruta;rating;tema_principal
llego tarde otra vez 😤;2;tiempo_entrega
VA LENTA Y SE TRABA;2;usabilidad_app
SUPER rapido en menos de 15min 😍 👏 fatal;5;tiempo_entrega
llego rpido 👍;4;tiempo_entrega
hubo un pequeño error pero nada grave;3;errores_pedido
APP FACIL DE USAR 👍;4;usabilidad_app
app facil de usar 👍;4;usabilidad_app
tardaron en contestar 😤;2;soporte_cliente
entrega bastante rapida la verdad 😊;4;tiempo_entrega
faltaban productos;1;errores_pedido
entrega bastante rapida la verdad 👏;4;tiempo_entrega
calidad increible me encanto 👏 meh;5;calidad_comida
a veces hay servicio a veces no;3;cobertura_zona
FUNCIONA PERO A VECES FALLA;3;usabilidad_app
APP FACIL DE USAR 👍 ok;4;usabilidad_app
En general, estuvo aceptable. hubo un pequeño error pero nada grave;3;errores_pedido
soporte excelente solucionaron todo 👏 😊;5;soporte_cliente
precio normal supongo;3;precio
La experiencia dejó mucho que desear. faltaban productos;1;errores_pedido
entrega bastante rapida la verdad;4;tiempo_entrega
buena atencion al cliente 😊 🔥;4;soporte_cliente
Todo salió realmente bien. app facil de usar 👍;4;usabilidad_app
ME TRAJERON OTRA COSA 😡;1;errores_pedido
SUPER rapido en menos de 15min 😍 🔥;5;tiempo_entrega
llego rapido 👍;4;tiempo_entrega
crashea todo el rato 🤦;1;usabilidad_app
hubo un pequeño error pero nada grave ok;3;errores_pedido
ME ENCANTA l interfz super intuitiv 😍 👏;5;usabilidad_app
soporte excelente solucionaron todo 👏;5;soporte_cliente
siempre hy cobertur en mi zon 👍;5;cobertura_zona
siempre hay cobertura en mi zona 👍 🔥;5;cobertura_zona
VA LENTA Y SE TRABA 🤦;2;usabilidad_app
tardaron en contestar;2;soporte_cliente
me yudron pero lento;3;soporte_cliente
buen precio para la calidad;4;precio
pedido perfecto sin errores 👏;5;errores_pedido
app facil de usar 👍 👏;4;usabilidad_app
IMPRESIONANTE LO RAPIDO QUE LLEGO 🔥;5;tiempo_entrega
BUEN PRECIO PARA LA CALIDAD;4;precio
poca cobertura donde vivo 😡 ok;2;cobertura_zona
Superó mis expectativas. app facil de usar 👍;4;usabilidad_app
NORMALMENTE HAY REPARTIDORES DISPONIBLES;4;cobertura_zona
calidad normal, nada especial;3;calidad_comida
COMIDA FRIA Y PASADA 😡 brutal;1;calidad_comida
Quedé muy satisfecho con el servicio. soporte excelente solucionaron todo 👏;5;soporte_cliente
Todo salió realmente bien. soporte excelente solucionaron todo 👏;5;soporte_cliente
lgo cro l verdd 👎;2;precio
me trjeron otr cos 😤;1;errores_pedido
tiempo normal supongo fatal;3;tiempo_entrega
Quedé muy satisfecho con el servicio. app facil de usar 👍;4;usabilidad_app
CARISIMO PARA LO QUE ES 💸 brutal;1;precio
precio norml supongo;3;precio
PEDI hace 2 horas y no llega 😡;1;tiempo_entrega
todo sbroso y clentito 🔥;4;calidad_comida
TODO CORRECTO ESTA VEZ 👍;4;errores_pedido
rica y bien preparada 😊;4;calidad_comida
a veces hay servicio a veces no pfff;3;cobertura_zona
Quedé muy satisfecho con el servicio. entrega bastante rapida la verdad;4;tiempo_entrega
Fue una experiencia muy agradable. llego rpido 👍;4;tiempo_entrega
Todo salió realmente bien. buena atencion al cliente 😊 🔥;4;soporte_cliente
algo caro la verdad 😭;2;precio
